code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1945459,TRUE,POWELL Katrina,Female,Head Coach,C,AUS,Australia,Australia,Hockey,,08-04-1972
1945474,TRUE,HAMMOND Rob,Male,Coach,C,AUS,Australia,Australia,Hockey,,06-05-1981
1945548,TRUE,LU Xiaohui,Male,Head Coach,C,CHN,China,People's Republic of China,Rugby Sevens,,17-05-1975
1945549,TRUE,ZHU Jiangtao,Male,Head Coach,C,CHN,China,People's Republic of China,Rugby Sevens,,03-11-1981
1945550,TRUE,MA Chong,Male,Head Coach,C,CHN,China,People's Republic of China,Rugby Sevens,,26-08-1993
1945552,TRUE,ZHU Jing,Male,Head Coach,C,CHN,China,People's Republic of China,Rugby Sevens,,05-08-1985
1946315,TRUE,CARNELI Ryan,Male,Coach,C,AUS,Australia,Australia,Taekwondo,,11-10-1985
1946317,TRUE,LEE Seokhun,Male,Coach,C,AUS,Australia,Australia,Taekwondo,,01-10-1979
1946582,TRUE,MACCARANI Emanuela,Female,Coach,C,ITA,Italy,Italy,Rhythmic Gymnastics,,20-09-1966
1946583,TRUE,ROVETTA Valentina,Female,Coach,C,ITA,Italy,Italy,Rhythmic Gymnastics,,24-07-1980
1946585,TRUE,MANCINELLI Claudia,Female,Coach,C,ITA,Italy,Italy,Rhythmic Gymnastics,,16-01-1985
1946907,TRUE,ABDULLAYEV Mammad,Male,Coach,C,AZE,Azerbaijan,Azerbaijan,Taekwondo,,07-07-1976
1947221,TRUE,RADONIC Vesna,Female,Coach,C,MNE,Montenegro,Montenegro,Rhythmic Gymnastics,,03-04-1971
1947623,TRUE,YANITSAS Andrew,Male,Assistant Coach,C,AUS,Australia,Australia,Water Polo,Men,14-03-1980
1947628,TRUE,DENIS Eddie,Male,Assistant Coach,C,AUS,Australia,Australia,Water Polo,Women,14-10-1970
1947636,TRUE,RIPPON Bec,Female,Head Coach,C,AUS,Australia,Australia,Water Polo,Women,26-12-1978
1947637,TRUE,WOODS Taryn,Female,Assistant Coach,C,AUS,Australia,Australia,Water Polo,Women,12-08-1975
1947638,TRUE,HAMILL Tim,Male,Head Coach,C,AUS,Australia,Australia,Water Polo,Men,27-12-1976
1947758,TRUE,SULTANOV Yesbol,Male,Coach,C,TUN,Tunisia,Tunisia,Taekwondo,,01-03-1981
1947762,TRUE,HECHMI Jendoubi,Male,Coach,C,TUN,Tunisia,Tunisia,Taekwondo,,01-06-1962
1948319,TRUE,MARTIN CEDRES Ambrosio Jose,Male,Head Coach,C,ESP,Spain,Spain,Handball,Women,30-04-1968
1948320,TRUE,MONTES AGUERA Cesar Jesus,Male,Assistant Coach,C,ESP,Spain,Spain,Handball,Men,06-01-1975
1948321,TRUE,PRADES PONS Jose Ignacio,Male,Assistant Coach,C,ESP,Spain,Spain,Handball,Women,08-09-1975
1948322,TRUE,RIBERA ROMANS Jordi,Male,Head Coach,C,ESP,Spain,Spain,Handball,Men,05-03-1963
1948429,TRUE,JAKOVLJEVIC Nenad,Male,Coach,C,SRB,Serbia,Serbia,Basketball,,30-10-1988
1948431,TRUE,KOSTIC Oliver,Male,Assistant Coach,C,SRB,Serbia,Serbia,Basketball,Men,20-02-1973
1948432,TRUE,MARINOVIC Marko,Male,Assistant Coach,C,SRB,Serbia,Serbia,Basketball,,15-03-1983
1948433,TRUE,PESIC Svetislav,Male,Coach,C,SRB,Serbia,Serbia,Basketball,Men,28-08-1949
1948434,TRUE,STOJAKOVIC Ognjen,Male,Coach,C,SRB,Serbia,Serbia,Basketball,,29-09-1981
1948438,TRUE,SEKULIC Marko,Male,Coach,C,SRB,Serbia,Serbia,Basketball,,17-07-1980
1948749,TRUE,BUTULIJA Dajana,Female,Assistant Coach,C,SRB,Serbia,Serbia,Basketball,,23-02-1986
1948750,TRUE,DRLJACA Ljubica,Female,Assistant Coach,C,SRB,Serbia,Serbia,Basketball,Women,04-08-1978
1948752,TRUE,MALJKOVIC Marina,Female,Coach,C,SRB,Serbia,Serbia,Basketball,Women,26-09-1981
1948764,TRUE,PAGE Danielle Nicole,Female,Coach,C,SRB,Serbia,Serbia,Basketball,,14-11-1986
1948904,TRUE,BEATTIE Ciaran,Male,Head Coach,C,GBR,Great Britain,Great Britain,Rugby Sevens,Women,23-02-1986
1948911,TRUE,NOLAN James,Male,Assistant Coach,C,GBR,Great Britain,Great Britain,Rugby Sevens,Women,27-08-1990
1948913,TRUE,PUGH Richie,Male,Head Coach,C,GBR,Great Britain,Great Britain,Rugby Sevens,,10-08-1983
1948914,TRUE,RIDDELL Scott,Male,Assistant Coach,C,GBR,Great Britain,Great Britain,Rugby Sevens,Women,05-10-1985
1948915,TRUE,ROQUES Tony,Male,Head Coach,C,GBR,Great Britain,Great Britain,Rugby Sevens,,07-09-1978
1948979,TRUE,JANIC Bojan,Male,Assistant Coach,C,SRB,Serbia,Serbia,Volleyball,Men,11-03-1982
